date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:15	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Apr%202020%2017:46:15%20GMT	http://127.0.0.1/robots.txt		(from )
13:46:16	92629/92629	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202020%2017:46:15%20GMT	http://127.0.0.1/wordpress/	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/index.html	(from )
13:46:16	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2023%20Apr%202020%2017:46:16%20GMT	http://127.0.0.1/wordpress/xmlrpc.php	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/xmlrpc.php	(from http://127.0.0.1/wordpress/)
13:46:16	53489/53489	---M-Z	200	added ('OK')	text/css	etag:%22d0f1-5a081f6b78180-gzip%22	http://127.0.0.1/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.4	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-includes/css/dist/block-library/style.min91d5.css	(from http://127.0.0.1/wordpress/)
13:46:17	66058/66058	---M-Z	200	added ('OK')	text/css	etag:%221020a-5a3bc976be007-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.5.14	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylefc72.css	(from http://127.0.0.1/wordpress/)
13:46:17	12007/12007	---M-Z	200	added ('OK')	text/css	etag:%222ee7-5a3f4f71a2a2f-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/wpforo/wpf-themes/classic/widgets.css?ver=1.7.3	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/plugins/wpforo/wpf-themes/classic/widgets3e0d.css	(from http://127.0.0.1/wordpress/)
13:46:17	36504/36504	---M-Z	200	added ('OK')	application/rss+xml	etag:%22fc341fe204d993bdfd6d26d922d0e4b1-gzip%22	http://127.0.0.1/wordpress/feed/	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/feed/index.html	(from http://127.0.0.1/wordpress/)
13:46:17	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5a3bc8bb652fc-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/revolution/assets/css/font-awesome.min.css	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/themes/revolution/assets/css/font-awesome.min.css	(from http://127.0.0.1/wordpress/)
13:46:19	1384/1384	---M-Z	200	added ('OK')	text/css	etag:%22568-5a3bc8c3f846d-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/revolution/style.css	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/themes/revolution/style.css	(from http://127.0.0.1/wordpress/)
13:46:19	1746/1746	---M-Z	200	added ('OK')	text/css	etag:%226d2-5a3bc98872add-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.7	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/plugins/contact-form-7/includes/css/styles6725.css	(from http://127.0.0.1/wordpress/)
13:46:19	773/773	---M-Z	200	added ('OK')	application/rss+xml	etag:%2207c4797e6a0c6835507c79b6724b3d8f-gzip%22	http://127.0.0.1/wordpress/comments/feed/	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/comments/feed/index.html	(from http://127.0.0.1/wordpress/)
13:46:19	484758/484758	---M-Z	200	added ('OK')	text/css	etag:%2276596-5a3bc91036bc5-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.6	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min40df.css	(from http://127.0.0.1/wordpress/)
13:46:20	55932/55932	---M-Z	200	added ('OK')	text/css	etag:%22da7c-5a3f4f7beb4bc-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/wpforo/wpf-themes/classic/colors.css?ver=1.7.3.0ae5498128cb9b3e58a7fd273ef68d04	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/plugins/wpforo/wpf-themes/classic/colorsadbf.css	(from http://127.0.0.1/wordpress/)
13:46:21	486291/486291	---MCZ	200	added ('OK')	text/css	etag:%2276b93-5a3bc8bb62b9b-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/revolution/assets/css/app.css?ver=1.5.5.2	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/themes/revolution/assets/css/app114d.css	(from http://127.0.0.1/wordpress/)
13:46:22	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400-gzip%22	http://127.0.0.1/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://127.0.0.1/wordpress/)
13:46:22	9566/9566	---M-Z	200	added ('OK')	application/javascript	etag:%22255e-5a3bc965e64ae-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from http://127.0.0.1/wordpress/)
13:46:22	2793/2793	---M-Z	200	added ('OK')	application/javascript	etag:%22ae9-5a3bc965abf05-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=4.0.1	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.minf39e.js	(from http://127.0.0.1/wordpress/)
13:46:22	14361/14361	---M--	200	added ('OK')	image/png	etag:%223819-5a3bcfb9a346b%22	http://127.0.0.1/wordpress/wp-content/uploads/2020/04/ptsd-en.png	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/uploads/2020/04/ptsd-en.png	(from http://127.0.0.1/wordpress/)
13:46:22	895/895	---M-Z	200	added ('OK')	application/javascript	etag:%2237f-5a3bc910f003d-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=5.6	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart40df.js	(from http://127.0.0.1/wordpress/)
13:46:24	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%2217a69-5890dc7401880-gzip%22	http://127.0.0.1/wordpress/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-includes/js/jquery/jquery4a5f.js	(from http://127.0.0.1/wordpress/)
13:46:24	19232/19232	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2023%20Apr%202020%2017:47:51%20GMT	https://use.typekit.net/zoo7qqi.js	C:/Users/admin/Desktop/ptsd/ptsd/use.typekit.net/zoo7qqi.js	(from http://127.0.0.1/wordpress/)
13:46:24	822/822	---M-Z	200	added ('OK')	text/xml	date:Thu,%2023%20Apr%202020%2017:46:24%20GMT	http://127.0.0.1/wordpress/xmlrpc.php?rsd	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/xmlrpc0db0.php	(from http://127.0.0.1/wordpress/)
13:46:24	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://127.0.0.1/wordpress/wp-includes/wlwmanifest.xml	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-includes/wlwmanifest.xml	(from http://127.0.0.1/wordpress/)
13:46:25	2259/2259	---M--	200	added ('OK')	application/json	date:Thu,%2023%20Apr%202020%2017:46:24%20GMT	http://127.0.0.1/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2F127.0.0.1%2Fwordpress%2F	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-json/oembed/1.0/embedea0a.json	(from http://127.0.0.1/wordpress/)
13:46:25	2349/2349	---M-Z	200	added ('OK')	text/xml	date:Thu,%2023%20Apr%202020%2017:46:25%20GMT	http://127.0.0.1/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2F127.0.0.1%2Fwordpress%2F&format=xml	C:/Users/admin/Desktop/ptsd/ptsd/127.0.0.1/wordpress/wp-json/oembed/1.0/embed7859	(from http://127.0.0.1/wordpress/)
